AAPL
Date,Close/Last,Volume,Open,High,Low
07/03/2025,$213.55,34955840,$212.15,$214.65,$211.81
07/07/2025,$209.95,50228980,$212.68,$216.23,$208.80
07/08/2025,$210.01,42848930,$210.10,$211.43,$208.45
07/09/2025,$211.14,48749370,$209.53,$211.33,$207.22
07/10/2025,$212.41,44443640,$210.50,$213.48,$210.03
07/11/2025,$211.16,39765810,$210.56,$212.13,$209.86
07/14/2025,$208.62,38840110,$209.93,$210.91,$207.54
07/15/2025,$209.11,42296340,$209.22,$211.89,$208.92
07/16/2025,$210.16,47490530,$210.29,$212.40,$208.64
07/17/2025,$210.02,48068140,$210.57,$211.80,$209.59
07/18/2025,$211.18,48974590,$210.87,$211.79,$209.70
07/21/2025,$212.48,51377430,$212.10,$215.78,$211.63
07/22/2025,$214.40,46404070,$213.14,$214.95,$212.23
07/23/2025,$214.15,46989300,$215.00,$215.15,$212.41
07/24/2025,$213.76,46022620,$213.90,$215.69,$213.53
07/25/2025,$213.88,40268780,$214.70,$215.24,$213.40
07/28/2025,$214.05,37858020,$214.03,$214.84,$213.06
07/29/2025,$211.27,51411720,$214.18,$214.81,$210.82
07/30/2025,$111.11,45512510,$211.90,$212.39,$207.72
07/31/2025,$207.57,80698430,$208.49,$209.84,$207.16
08/01/2025,$202.38,104434500,$210.87,$213.58,$201.50
