SBUX
Date,Close/Last,Volume,Open,High,Low
08/01/2025,$86.86,16221310,$88.39,$88.495,$85.49
07/31/2025,$89.16,16565420,$91.60,$93.065,$88.43
07/30/2025,$92.76,44794730,$97.825,$98.89,$90.07
07/29/2025,$92.96,20923550,$93.25,$94.39,$91.775
07/28/2025,$93.67,10333590,$94.93,$95.74,$93.46
07/25/2025,$94.42,7224105,$93.40,$94.48,$92.31
07/24/2025,$93.70,7897596,$95.50,$95.58,$93.42
07/23/2025,$95.92,11275280,$97.345,$98.18,$95.535
07/22/2025,$96.94,9992365,$92.95,$97.16,$92.85
07/21/2025,$92.66,7217334,$94.30,$95.29,$92.61
07/18/2025,$93.80,5173102,$94.04,$94.4599,$93.25
07/17/2025,$93.19,8588994,$90.73,$93.285,$90.57
07/16/2025,$92.51,7136905,$92.66,$93.28,$91.56
07/15/2025,$92.48,8567878,$93.62,$94.30,$92.15
07/14/2025,$93.42,6048282,$93.68,$93.9624,$92.27
07/11/2025,$94.94,6339762,$94.37,$95.32,$94.14
07/10/2025,$95.15,6916235,$94.88,$95.735,$93.55
07/09/2025,$95.25,8322429,$97.55,$97.89,$94.655
07/08/2025,$94.94,6985665,$94.06,$95.75,$93.78
07/07/2025,$93.64,5311175,$94.16,$94.945,$92.97
07/03/2025,$94.44,3557273,$94.20,$94.65,$93.76
